ID,Age,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,Female,Male,No,Yes,No,Yes,Artist,Doctor,Engineer,Entertainment,Executive,Healthcare,Homemaker,Lawyer,Marketing
10497,33,0.0,0,2.0,5,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
5748,42,5.0,2,1.0,5,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
4228,80,0.0,1,2.0,5,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
10369,66,0.0,0,3.0,5,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
10442,39,8.0,1,2.0,0,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
3043,60,1.0,1,4.0,2,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
3813,21,0.0,2,2.0,5,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
8041,67,1.0,0,2.0,5,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
6879,50,1.0,2,4.0,5,3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
4310,27,0.0,2,2.0,5,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
8186,61,1.0,0,3.0,5,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
8740,20,1.0,2,4.0,0,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
3263,40,8.0,0,2.0,5,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
7177,30,1.0,0,3.0,2,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
5082,25,1.0,2,2.0,2,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
1356,20,6.0,2,3.0,5,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
9186,57,1.0,2,1.0,5,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
1491,70,1.0,0,2.0,5,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
6730,53,2.0,2,1.0,5,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
6328,20,0.0,2,2.0,5,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
8460,79,9.0,2,3.0,5,3,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
8180,52,0.0,0,2.0,5,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
9680,27,1.0,2,4.0,3,3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
5767,35,0.0,2,3.0,5,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2053,60,1.0,1,4.0,5,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4223,59,1.0,0,3.0,5,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4853,30,0.0,2,2.0,5,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
1605,47,1.0,2,2.0,5,3,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
1969,23,0.0,2,4.0,2,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
3103,30,1.0,2,4.0,5,3,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
6115,31,1.0,0,2.0,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
713,40,0.0,2,2.0,5,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2145,42,1.0,2,2.0,5,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
7316,33,10.0,0,2.0,1,3,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
10263,72,1.0,2,2.0,5,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2232,35,1.0,2,1.0,5,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
